snapshot_date,platform,keyword,occupation_code,industry_code,total_reported,precision_deep,effective_count,stop_reason,occupation_label_de,occupation_label_en,industry_label_de,industry_label_en
2026-09-08,arbeit.swiss,222,,,11524,,,exhausted,,,,
2026-09-08,arbeit.swiss,Pflegefachfrau,,,4788,0.92,4405,exhausted,,,,
2026-09-08,arbeit.swiss,322,,,4212,,,exhausted,,,,
2026-09-08,arbeit.swiss,Kaufmann,,,3876,0.5,1938,exhausted,,,,
2026-09-08,arbeit.swiss,741,,,3836,,,exhausted,,,,
2026-09-08,arbeit.swiss,712,,,3710,,,exhausted,,,,
2026-09-08,arbeit.swiss,711,,,3521,,,exhausted,,,,
2026-09-08,arbeit.swiss,221,,,3016,,,exhausted,,,,
2026-09-08,arbeit.swiss,311,,,2576,,,exhausted,,,,
2026-09-08,arbeit.swiss,Arzt,,,2359,0.71,1675,exhausted,,,,
2026-09-08,arbeit.swiss,Fachfrau Gesundheit EFZ,,,2293,0.74,1697,exhausted,,,,
2026-09-08,arbeit.swiss,720,,,2287,,,exhausted,,,,
2026-09-08,arbeit.swiss,Polymechaniker,,,2242,0.48,1076,exhausted,,,,
2026-09-08,arbeit.swiss,524,,,1904,,,exhausted,,,,
2026-09-08,arbeit.swiss,721,,,1831,,,exhausted,,,,
2026-09-08,arbeit.swiss,723,,,1807,,,exhausted,,,,
2026-09-08,arbeit.swiss,Projektleiter,,,1652,0.66,1090,exhausted,,,,
2026-09-08,arbeit.swiss,Expertin Anästhesiepflege,,,1611,0.95,1530,exhausted,,,,
2026-09-08,arbeit.swiss,411,,,1550,,,exhausted,,,,
2026-09-08,arbeit.swiss,931,,,1475,,,exhausted,,,,
2026-09-08,arbeit.swiss,Sachbearbeiter,,,1359,0.91,1237,exhausted,,,,
2026-09-08,arbeit.swiss,333,,,1284,,,exhausted,,,,
2026-09-08,arbeit.swiss,513,,,1276,,,exhausted,,,,
2026-09-08,arbeit.swiss,522,,,1266,,,exhausted,,,,
2026-09-08,arbeit.swiss,834,,,1196,,,exhausted,,,,
2026-09-08,arbeit.swiss,251,,,1159,,,exhausted,,,,
2026-09-08,arbeit.swiss,432,,,1052,,,exhausted,,,,
2026-09-08,arbeit.swiss,512,,,1024,,,exhausted,,,,
2026-09-08,arbeit.swiss,713,,,972,,,exhausted,,,,
2026-09-08,arbeit.swiss,441,,,965,,,exhausted,,,,
2026-09-08,arbeit.swiss,611,,,932,,,exhausted,,,,
2026-09-08,arbeit.swiss,911,,,930,,,exhausted,,,,
2026-09-08,arbeit.swiss,515,,,925,,,exhausted,,,,
2026-09-08,arbeit.swiss,332,,,896,,,exhausted,,,,
2026-09-08,arbeit.swiss,Zimmermann,,,892,0.75,669,exhausted,,,,
2026-09-08,arbeit.swiss,312,,,874,,,exhausted,,,,
2026-09-08,arbeit.swiss,242,,,872,,,exhausted,,,,
2026-09-08,arbeit.swiss,Maler,,,840,0.9,756,exhausted,,,,
2026-09-08,arbeit.swiss,214,,,818,,,exhausted,,,,
2026-09-08,arbeit.swiss,Gärtner,,,806,0.89,717,exhausted,,,,
2026-09-08,arbeit.swiss,Koch,,,761,0.75,571,exhausted,,,,
2026-09-08,arbeit.swiss,241,,,668,,,exhausted,,,,
2026-09-08,arbeit.swiss,Mechaniker,,,660,0.78,515,exhausted,,,,
2026-09-08,arbeit.swiss,Servicetechniker,,,654,0.78,510,exhausted,,,,
2026-09-08,arbeit.swiss,325,,,625,,,exhausted,,,,
2026-09-08,arbeit.swiss,331,,,624,,,exhausted,,,,
2026-09-08,arbeit.swiss,431,,,609,,,exhausted,,,,
2026-09-08,arbeit.swiss,300,,,600,,,exhausted,,,,
2026-09-08,arbeit.swiss,243,,,572,,,exhausted,,,,
2026-09-08,arbeit.swiss,Fachfrau Operationstechnik,,,558,0.8,446,exhausted,,,,
2026-09-08,arbeit.swiss,132,,,556,,,exhausted,,,,
2026-09-08,arbeit.swiss,810,,,531,,,exhausted,,,,
2026-09-08,arbeit.swiss,Logistiker EFZ,,,516,0.949,490,exhausted,,,,
2026-09-08,arbeit.swiss,933,,,510,,,exhausted,,,,
2026-09-08,arbeit.swiss,Chauffeur,,,493,1.0,493,exhausted,,,,
2026-09-08,arbeit.swiss,Verkäufer,,,487,0.0,0,exhausted,,,,
2026-09-08,arbeit.swiss,Mechatroniker,,,479,,,exhausted,,,,
2026-09-08,arbeit.swiss,341,,,469,,,exhausted,,,,
2026-09-08,arbeit.swiss,941,,,454,,,exhausted,,,,
2026-09-08,arbeit.swiss,226,,,443,,,exhausted,,,,
2026-09-08,arbeit.swiss,334,,,439,,,exhausted,,,,
2026-09-08,arbeit.swiss,121,,,412,,,exhausted,,,,
2026-09-08,arbeit.swiss,263,,,399,,,exhausted,,,,
2026-09-08,arbeit.swiss,Fachmann Operationstechnik,,,396,,,exhausted,,,,
2026-09-08,arbeit.swiss,422,,,390,,,exhausted,,,,
2026-09-08,arbeit.swiss,Produktionsmitarbeiter,,,372,,,exhausted,,,,
2026-09-08,arbeit.swiss,321,,,357,,,exhausted,,,,
2026-09-08,arbeit.swiss,Elektroplaner,,,352,,,exhausted,,,,
2026-09-08,arbeit.swiss,112,,,342,,,exhausted,,,,
2026-09-08,arbeit.swiss,Kranführer,,,340,,,exhausted,,,,
2026-09-08,arbeit.swiss,532,,,336,,,exhausted,,,,
2026-09-08,arbeit.swiss,261,,,320,,,exhausted,,,,
2026-09-08,arbeit.swiss,343,,,319,,,exhausted,,,,
2026-09-08,arbeit.swiss,Kundenberater,,,317,,,exhausted,,,,
2026-09-08,arbeit.swiss,134,,,316,,,exhausted,,,,
2026-09-08,arbeit.swiss,833,,,295,,,exhausted,,,,
2026-09-08,arbeit.swiss,Physiotherapeut,,,294,,,exhausted,,,,
2026-09-08,arbeit.swiss,Verkaufsberater,,,284,,,exhausted,,,,
2026-09-08,arbeit.swiss,252,,,273,,,exhausted,,,,
2026-09-08,arbeit.swiss,216,,,268,,,exhausted,,,,
2026-09-08,arbeit.swiss,541,,,263,,,exhausted,,,,
2026-09-08,arbeit.swiss,Gärtner EFZ,,,258,,,exhausted,,,,
2026-09-08,arbeit.swiss,731,,,238,,,exhausted,,,,
2026-09-08,arbeit.swiss,Betriebselektriker,,,235,,,exhausted,,,,
2026-09-08,arbeit.swiss,Lagermitarbeiter,,,235,,,exhausted,,,,
2026-09-08,arbeit.swiss,250,,,232,,,exhausted,,,,
2026-09-08,arbeit.swiss,Servicemitarbeiter,,,225,,,exhausted,,,,
2026-09-08,arbeit.swiss,351,,,225,,,exhausted,,,,
2026-09-08,arbeit.swiss,830,,,221,,,exhausted,,,,
2026-09-08,arbeit.swiss,122,,,219,,,exhausted,,,,
2026-09-08,arbeit.swiss,335,,,212,,,exhausted,,,,
2026-09-08,arbeit.swiss,722,,,204,,,exhausted,,,,
2026-09-08,arbeit.swiss,751,,,195,,,exhausted,,,,
2026-09-08,arbeit.swiss,200,,,183,,,exhausted,,,,
2026-09-08,arbeit.swiss,Betriebsmechaniker,,,174,,,exhausted,,,,
2026-09-08,arbeit.swiss,Chef de Rang,,,154,,,exhausted,,,,
2026-09-08,arbeit.swiss,752,,,154,,,exhausted,,,,
2026-09-08,arbeit.swiss,Netzelektriker EFZ,,,141,,,exhausted,,,,
2026-09-08,arbeit.swiss,235,,,133,,,exhausted,,,,
2026-09-08,arbeit.swiss,Sozialpädagoge,,,133,,,exhausted,,,,
2026-09-08,arbeit.swiss,Controller,,,130,,,exhausted,,,,
2026-09-08,arbeit.swiss,421,,,126,,,exhausted,,,,
2026-09-08,arbeit.swiss,Disponent,,,122,,,exhausted,,,,
2026-09-08,arbeit.swiss,514,,,122,,,exhausted,,,,
